x,y
1,3.02436
2,2.27006
3,13.0006
4,6.62264
5,6.61397
6,15.5574
7,6.74806
8,9.68198
9,8.4661
10,5.65395
11,12.7706
12,4.37284
13,12.6678
14,17.2033
15,10.4039
16,42.2636
17,22.6617
18,27.8177
19,64.6148
20,19.2954
21,40.436
22,23.2499
23,14.6065
24,28.0456
25,7.99553
26,19.7674
27,22.3475
28,13.1839
29,47.3829
30,27.1352
31,43.86
32,93.9594
33,34.4319
34,106.846
35,44.477
36,34.1747
37,56.5614
38,16.9208
39,33.2742
40,26.7178
41,13.9824
42,50.315
43,25.9499
44,50.2949
45,80.7314
46,43.3799
47,185.227
48,67.3274
49,65.2867
50,109.949
51,32.6871
52,62.2434
53,37.448
54,20.3497
55,57.0362
56,20.2498
57,49.7265
58,66.9394
59,43.9873
60,165.245
61,74.6136
62,100.258
63,192.457
64,56.8297
65,119.909
66,59.2109
67,40.1012
68,73.2729
69,18.9426
70,55.8035
71,55.8323
72,35.9788
73,124.397
74,66.3589
75,113.5
76,209.904
77,78.8279
78,249.511
79,90.9098
80,73.3113
81,113.866
82,29.9709
83,71.2648
84,52.492
85,30.516
86,103.262
87,48.3195
88,106.311
89,157.797
90,87.2496
91,385.388
92,118.643
93,125.451
94,188.403
95,55.212
96,113.5
97,62.2556
98,39.4003
99,99.3998
100,32.1303
101,95.4095
102,113.293
103,79.5459
104,310.132
105,122.804
106,180.918
107,292.737
108,92.1558
109,199.337
110,88.895
111,65.8641
112,115.638
113,28.3158
114,93.5855
115,87.4896
116,63.4941
117,209.079
118,102.161
119,198.438
120,308.462
121,124.248
122,393.837
123,128.21
124,115.233
125,163.073
126,41.7482
127,112.852
128,75.2953
129,51.1271
130,159.546
131,74.6531
132,173.831
133,227.515
134,134.666
135,608.593
136,164.057
137,188.472
138,251.553
139,77.8083
140,163.366
141,81.9941
142,59.3931
143,141.863
144,45.4459
145,147.498
146,160.6
147,119.052
148,473.718
149,169.618
150,273.359
151,370.177
152,124.609
153,276.825
154,114.839
155,93.4947
156,154.718
157,35.1022
158,137.949
159,116.488
160,93.9984
161,299.675
162,141.628
163,298.137
164,393.29
165,169.703
166,530.517
167,161.235
168,158.336
169,205.464
170,52.8304
171,154.44
172,93.9962
173,76.0038
174,217.109
175,99.4578
176,253.096
177,294.248
178,186.621
179,836.715
180,206.442
181,256.538
182,300.726
183,97.3488
184,214.66
185,97.6122
186,83.1515
187,184.138
188,61.1689
189,206.362
190,203.898
191,164.572
192,653.368
193,212.454
194,377.637
195,430.135
196,159.273
197,350.661
198,132.976
199,122.387
200,189.951
201,43.7185
202,184.173
203,144.628
204,132.023
205,397.373
206,178.785
207,415.439
208,461.913
209,216.882
210,655.984
211,189.534
212,202.077
213,240.49
214,64.0836
215,200.438
216,110.162
217,106.043
218,274.512
219,126.277
220,347.097
221,356.211
222,240.929
223,1053.36
224,241.074
225,326.728
226,341.668
227,118.079
228,265.114
229,109.531
230,109.877
231,224.077
232,78.0756
233,275.076
234,247.875
235,218.632
236,837.524
237,256.21
238,493.244
239,474.328
240,192.322
241,418.905
242,148.217
243,155.167
244,221.744
245,53.4408
246,236.39
247,169.482
248,174.095
249,496.283
250,217.355
251,556.86
252,518.685
253,266.927
254,764.085
255,210.958
256,247.197
257,270.319
258,73.0078
259,245.182
260,123.206
261,140.184
262,332.487
263,155.47
264,458.394
265,413.122
266,303.197
267,1242.27
268,275.067
269,401.942
270,372.207
271,136.736
272,315.487
273,119.42
274,141.043
275,262.017
276,96.4716
277,350.852
278,287.745
279,278.046
280,1016.86
281,297.333
282,621.188
283,506.472
284,224.584
285,479.694
286,158.344
287,189.298
288,249.286
289,64.8784
290,293.351
291,195.218
292,224.869
293,597.982
294,258.883
295,725.267
296,563.679
297,320.031
298,850.173
299,228.951
300,294.334
301,294.236
302,84.1451
303,292.626
304,135.879
305,181.321
306,391.3
307,187.929
308,588.627
309,465.315
310,369.696
311,1386.2
312,303.791
313,478.163
314,395.508
315,155.706
316,362.445
317,124.907
318,175.286
319,297.69
320,116.235
321,436.616
322,327.301
323,345.582
324,1183.38
325,337.633
326,764.023
327,532.893
328,260.108
329,533.708
330,165.275
331,226.389
332,273.502
333,79.1191
334,354.87
335,218.574
336,282.229
337,694.773
338,299.511
339,926.051
340,601.456
341,374.136
342,916.705
343,244.233
344,343.042
345,312.774
346,96.679
347,340.751
348,147.134
349,227.395
350,446.264
351,221.461
352,744.018
353,510.883
354,445.633
355,1484.73
356,332.001
357,556.458
358,411.956
359,174.934
360,406.268
361,127.955
362,213.833
363,331.313
364,141.654
365,534.053
366,366.22
367,423.954
368,1322.64
369,376.191
370,913.573
371,549.511
372,294.398
373,582.396
374,169.73
375,265.297
376,293.225
377,95.5298
378,419.503
379,242.803
380,347.38
381,789.336
382,344.27
383,1161.27
384,630.984
385,429.383
386,960.54
387,257.11
388,394.77
389,328.333
390,110.891
391,387.894
392,156.251
393,280.263
394,502.798
395,262.05
396,925.77
397,552.93
398,527.918
399,1535.37
400,357.081
401,635.459
402,424.532
403,197.052
404,446.601
405,127.822
406,258.298
407,362.966
408,173.026
409,641.211
410,402.28
411,511.522
412,1433.58
413,415.847
414,1071.62
415,561.212
416,330.158
417,621.465
418,170.861
419,308.069
420,310.852
421,117.131
422,488.411
423,265.908
424,422.227
425,878.342
426,390.579
427,1429.48
428,652.579
429,490.937
430,989.617
431,266.452
432,445.42
433,337.175
434,129.924
435,436.504
436,166.248
437,340.233
438,555.095
439,303.885
440,1138.51
441,591.876
442,618.47
443,1546.14
444,379.169
445,715.521
446,430.524
447,218.397
448,485.257
449,130.128
450,306.979
451,391.651
452,206.58
453,762.235
454,439.459
455,612.653
456,1509.25
457,456.626
458,1231.47
459,568.793
460,367.904
461,652.738
462,170.614
463,354.209
464,325.841
465,142.829
466,558.909
467,291.817
468,508.42
469,955.836
470,441.794
471,1732.24
472,670.478
473,553.148
474,1003.53
475,275.07
476,497.004
477,342.002
478,151.437
479,485.795
480,177.033
481,408.051
482,605.34
483,352.122
484,1382.73
485,627.239
486,717.632
487,1531.26
488,402.628
489,792.695
490,433.612
491,245.235
492,519.295
493,129.411
494,362.449
495,420.532
496,245.496
497,891.307
498,476.908
499,729.352
500,1553.3
501,497.252
502,1388.32
503,572.293
504,407.192
505,677.079
506,170.051
507,402.882
508,336.142
509,171.899
510,634.44
511,316.847
512,607.09
513,1026.51
514,495.308
515,2052.09
516,684.755
517,620.118
518,1004.95
519,282.691
520,550.802
521,342.544
522,175.911
523,532.351
524,188.661
525,483.838
526,652.207
527,405.955
528,1656.25
529,658.208
530,828.29
531,1497.32
532,422.561
533,864.479
534,432.963
535,273.595
536,549.881
537,132.181
538,422.501
539,445.785
540,293.01
541,1030.13
542,511.772
543,865.985
544,1571.34
545,537.958
546,1532.06
547,571.912
548,447.642
549,695.753
550,168.531
551,453.448
552,344.017
553,208.274
554,711.021
555,343.78
556,721.694
557,1086.11
558,554.585
559,2376.82
560,696.038
561,688.863
562,1000.34
563,288.075
564,602.24
565,341.979
566,205.799
567,577.222
568,204.707
569,568.262
570,696.541
571,467.386
572,1952.21
573,688.655
574,951.467
575,1451.46
576,446.127
577,932.861
578,427.575
579,303.272
580,576.647
581,135.443
582,487.564
583,470.509
